,Country_name,Phone_code,Continent,Capital,Currency,Country_code,Languages
0,Andorra,376,Europe,Andorra la Vella,EUR,AND,Catalan
1,United Arab Emirates,971,Asia,Abu Dhabi,AED,ARE,Arabic
2,Afghanistan,93,Asia,Kabul,AFN,AFG,Pashto
3,Afghanistan,93,Asia,Kabul,AFN,AFG,Uzbek
4,Afghanistan,93,Asia,Kabul,AFN,AFG,Turkmen
5,Antigua and Barbuda,1268,America,Saint John's,XCD,ATG,English
6,Anguilla,1264,America,The Valley,XCD,AIA,English
7,Albania,355,Europe,Tirana,ALL,ALB,Albanian
8,Armenia,374,Asia,Yerevan,AMD,ARM,Armenian
9,Armenia,374,Asia,Yerevan,AMD,ARM,Russian
10,Angola,244,Africa,Luanda,AOA,AGO,Portuguese
11,Argentina,54,America,Buenos Aires,ARS,ARG,Spanish
12,Argentina,54,America,Buenos Aires,ARS,ARG,Guarani
13,American Samoa,1684,Oceania,Pago Pago,USD,ASM,English
14,American Samoa,1684,Oceania,Pago Pago,USD,ASM,Samoan
15,Austria,43,Europe,Vienna,EUR,AUT,German
16,Australia,61,Oceania,Canberra,AUD,AUS,English
17,Aruba,297,America,Oranjestad,AWG,ABW,Dutch
18,Aruba,297,America,Oranjestad,AWG,ABW,Panjabi / Punjabi
19,Aland Islands,358,Europe,Mariehamn,EUR,ALA,Swedish
20,Azerbaijan,994,Asia,Baku,AZN,AZE,Azerbaijani
21,Bosnia and Herzegovina,387,Europe,Sarajevo,BAM,BIH,Bosnian
22,Bosnia and Herzegovina,387,Europe,Sarajevo,BAM,BIH,Croatian
23,Bosnia and Herzegovina,387,Europe,Sarajevo,BAM,BIH,Serbian
24,Barbados,1246,America,Bridgetown,BBD,BRB,English
25,Bangladesh,880,Asia,Dhaka,BDT,BGD,Bengali
26,Belgium,32,Europe,Brussels,EUR,BEL,Dutch
27,Belgium,32,Europe,Brussels,EUR,BEL,French
28,Belgium,32,Europe,Brussels,EUR,BEL,German
29,Burkina Faso,226,Africa,Ouagadougou,XOF,BFA,French
30,Burkina Faso,226,Africa,Ouagadougou,XOF,BFA,Peul
31,Bulgaria,359,Europe,Sofia,BGN,BGR,Bulgarian
32,Bahrain,973,Asia,Manama,BHD,BHR,Arabic
33,Burundi,257,Africa,Bujumbura,BIF,BDI,French
34,Burundi,257,Africa,Bujumbura,BIF,BDI,Kirundi
35,Benin,229,Africa,Porto-Novo,XOF,BEN,French
36,St. Barths,590,America,Gustavia,EUR,BLM,French
37,Bermuda,1441,America,Hamilton,BMD,BMU,English
38,Brunei Darussalam,673,Asia,Bandar Seri Begawan,BND,BRN,Malay
39,Bolivia,591,America,Sucre,"BOB,BOV",BOL,Spanish
40,Bolivia,591,America,Sucre,"BOB,BOV",BOL,Aymara
41,Bolivia,591,America,Sucre,"BOB,BOV",BOL,Quechua
42,Bonaire,5997,Bonaire,Kralendijk,USD,Bonaire,Dutch
43,Brazil,55,America,Brasília,BRL,BRA,Portuguese
44,Bahamas,1242,America,Nassau,BSD,BHS,English
45,Bhutan,975,Asia,Thimphu,"BTN,INR",BTN,Dzongkha
46,Bouvet Island,47,Antarctica,,NOK,BVT,Norwegian
47,Bouvet Island,47,Antarctica,,NOK,BVT,Norwegian Nynorsk
48,Botswana,267,Africa,Gaborone,BWP,BWA,English
49,Botswana,267,Africa,Gaborone,BWP,BWA,Tswana
50,Belarus,375,Europe,Minsk,BYR,BLR,Belarusian
51,Belarus,375,Europe,Minsk,BYR,BLR,Russian
52,Belize,501,America,Belmopan,BZD,BLZ,English
53,Belize,501,America,Belmopan,BZD,BLZ,Spanish
54,Canada,1,America,Ottawa,CAD,CAN,English
55,Canada,1,America,Ottawa,CAD,CAN,French
56,Cocos (Keeling) Islands,61,Asia,West Island,AUD,CCK,English
57,DR Congo,243,Africa,Kinshasa,CDF,COD,French
58,DR Congo,243,Africa,Kinshasa,CDF,COD,Lingala
59,DR Congo,243,Africa,Kinshasa,CDF,COD,Kongo
60,DR Congo,243,Africa,Kinshasa,CDF,COD,Swahili
61,Central African Republic,236,Africa,Bangui,XAF,CAF,French
62,Central African Republic,236,Africa,Bangui,XAF,CAF,Sango
63,Congo Republic,242,Africa,Brazzaville,XAF,COG,French
64,Congo Republic,242,Africa,Brazzaville,XAF,COG,Lingala
65,Switzerland,41,Europe,Bern,"CHE,CHF,CHW",CHE,German
66,Switzerland,41,Europe,Bern,"CHE,CHF,CHW",CHE,French
67,Switzerland,41,Europe,Bern,"CHE,CHF,CHW",CHE,Italian
68,Cote d'Ivoire,225,Africa,Yamoussoukro,XOF,CIV,French
69,Cook Islands,682,Oceania,Avarua,NZD,COK,English
70,Chile,56,America,Santiago,"CLF,CLP",CHL,Spanish
71,Cameroon,237,Africa,Yaoundé,XAF,CMR,English
72,Cameroon,237,Africa,Yaoundé,XAF,CMR,French
73,China,86,Asia,Beijing,CNY,CHN,Chinese
74,Colombia,57,America,Bogotá,COP,COL,Spanish
75,Costa Rica,506,America,San José,CRC,CRI,Spanish
76,Cuba,53,America,Havana,"CUC,CUP",CUB,Spanish
77,Cabo Verde,238,Africa,Praia,CVE,CPV,Portuguese
78,Curacao,5999,America,Willemstad,ANG,CUW,Dutch
79,Curacao,5999,America,Willemstad,ANG,CUW,Panjabi / Punjabi
80,Curacao,5999,America,Willemstad,ANG,CUW,English
81,Christmas Island,61,Asia,Flying Fish Cove,AUD,CXR,English
82,Cyprus,357,Asia,Nicosia,EUR,CYP,Greek
83,Cyprus,357,Asia,Nicosia,EUR,CYP,Turkish
84,Cyprus,357,Asia,Nicosia,EUR,CYP,Armenian
85,Czech Republic,420,Europe,Prague,CZK,CZE,Czech
86,Czech Republic,420,Europe,Prague,CZK,CZE,Slovak
87,Germany,49,Europe,Berlin,EUR,DEU,German
88,Djibouti,253,Africa,Djibouti,DJF,DJI,French
89,Djibouti,253,Africa,Djibouti,DJF,DJI,Arabic
90,Denmark,45,Europe,Copenhagen,DKK,DNK,Danish
91,Dominica,1767,America,Roseau,XCD,DMA,English
92,Dominican Republic,"1809,1829,1849",America,Santo Domingo,DOP,DOM,Spanish
93,Algeria,213,Africa,Algiers,DZD,DZA,Arabic
94,Ecuador,593,America,Quito,USD,ECU,Spanish
95,Estonia,372,Europe,Tallinn,EUR,EST,Estonian
96,Egypt,20,Africa,Cairo,EGP,EGY,Arabic
97,Western Sahara,212,Africa,El Aaiún,"MAD,DZD,MRU",ESH,Spanish
98,Eritrea,291,Africa,Asmara,ERN,ERI,Tigrinya
99,Eritrea,291,Africa,Asmara,ERN,ERI,Arabic
100,Eritrea,291,Africa,Asmara,ERN,ERI,English
101,Spain,34,Europe,Madrid,EUR,ESP,Spanish
102,Spain,34,Europe,Madrid,EUR,ESP,Basque
103,Spain,34,Europe,Madrid,EUR,ESP,Catalan
104,Spain,34,Europe,Madrid,EUR,ESP,Galician
105,Spain,34,Europe,Madrid,EUR,ESP,Occitan
106,Ethiopia,251,Africa,Addis Ababa,ETB,ETH,Amharic
107,Finland,358,Europe,Helsinki,EUR,FIN,Finnish
108,Finland,358,Europe,Helsinki,EUR,FIN,Swedish
109,Fiji,679,Oceania,Suva,FJD,FJI,English
110,Fiji,679,Oceania,Suva,FJD,FJI,Fijian
111,Fiji,679,Oceania,Suva,FJD,FJI,Hindi
112,Fiji,679,Oceania,Suva,FJD,FJI,Urdu
113,Falkland Islands,500,America,Stanley,FKP,FLK,English
114,"Micronesia, Fed. Sts.",691,Oceania,Palikir,USD,FSM,English
115,Faeroe Islands,298,Europe,Tórshavn,DKK,FRO,Faroese
116,France,33,Europe,Paris,EUR,FRA,French
117,Gabon,241,Africa,Libreville,XAF,GAB,French
118,United Kingdom,44,Europe,London,GBP,GBR,English
119,Grenada,1473,America,St. George's,XCD,GRD,English
120,Georgia,995,Asia,Tbilisi,GEL,GEO,Georgian
121,French Guiana,594,Africa,Cayenne,EUR,GUF,French
122,Guernsey,44,Europe,St. Peter Port,GBP,GGY,English
123,Guernsey,44,Europe,St. Peter Port,GBP,GGY,French
124,Ghana,233,Africa,Accra,GHS,GHA,English
125,Gibraltar,350,Europe,Gibraltar,GIP,GIB,English
126,Greenland,299,America,Nuuk,DKK,GRL,Greenlandic
127,Gambia,220,Africa,Banjul,GMD,GMB,English
128,Guinea,224,Africa,Conakry,GNF,GIN,French
129,Guinea,224,Africa,Conakry,GNF,GIN,Peul
130,Guadeloupe,590,America,Basse-Terre,EUR,GLP,French
131,Equatorial Guinea,240,Africa,Malabo,XAF,GNQ,Spanish
132,Equatorial Guinea,240,Africa,Malabo,XAF,GNQ,French
133,Greece,30,Europe,Athens,EUR,GRC,Greek
134,South Georgia and South Sandwich Is.,500,Antarctica,King Edward Point,GBP,SGS,English
135,Guatemala,502,America,Guatemala City,GTQ,GTM,Spanish
136,Guam,1671,Oceania,Hagåtña,USD,GUM,English
137,Guam,1671,Oceania,Hagåtña,USD,GUM,Chamorro
138,Guam,1671,Oceania,Hagåtña,USD,GUM,Spanish
139,Guinea-Bissau,245,Africa,Bissau,XOF,GNB,Portuguese
140,Guyana,592,America,Georgetown,GYD,GUY,English
141,Hong Kong,852,Asia,City of Victoria,HKD,HKG,Chinese
142,Hong Kong,852,Asia,City of Victoria,HKD,HKG,English
143,Heard and McDonald Islands,61,Asia,,AUD,HMD,English
144,Honduras,504,America,Tegucigalpa,HNL,HND,Spanish
145,Croatia,385,Europe,Zagreb,HRK,HRV,Croatian
146,Haiti,509,America,Port-au-Prince,"HTG,USD",HTI,French
147,Haiti,509,America,Port-au-Prince,"HTG,USD",HTI,Haitian
148,Hungary,36,Europe,Budapest,HUF,HUN,Hungarian
149,Indonesia,62,Asia,Jakarta,IDR,IDN,Indonesian
150,Ireland,353,Europe,Dublin,EUR,IRL,Irish
151,Ireland,353,Europe,Dublin,EUR,IRL,English
152,Israel,972,Asia,Jerusalem,ILS,ISR,Hebrew
153,Israel,972,Asia,Jerusalem,ILS,ISR,Arabic
154,Isle of Man,44,Europe,Douglas,GBP,IMN,English
155,Isle of Man,44,Europe,Douglas,GBP,IMN,Manx
156,India,91,Asia,New Delhi,INR,IND,Hindi
157,India,91,Asia,New Delhi,INR,IND,English
158,British Indian Ocean Territory,246,Africa,Diego Garcia,USD,IOT,English
159,Iraq,964,Asia,Baghdad,IQD,IRQ,Arabic
160,Iraq,964,Asia,Baghdad,IQD,IRQ,Kurdish
161,Iran,98,Asia,Tehran,IRR,IRN,Persian
162,Iceland,354,Europe,Reykjavik,ISK,ISL,Icelandic
163,Italy,39,Europe,Rome,EUR,ITA,Italian
164,Jersey,44,Europe,Saint Helier,GBP,JEY,English
165,Jersey,44,Europe,Saint Helier,GBP,JEY,French
