,code,name
0,aa,Afar
1,ab,Abkhazian
2,af,Afrikaans
3,ak,Akan
4,am,Amharic
5,an,Aragonese
6,ar,Arabic
7,as,Assamese
8,av,Avar
9,ay,Aymara
10,az,Azerbaijani
11,ba,Bashkir
12,be,Belarusian
13,bg,Bulgarian
14,bh,Bihari
15,bi,Bislama
16,bm,Bambara
17,bn,Bengali
18,bo,Tibetan
19,br,Breton
20,bs,Bosnian
21,ca,Catalan
22,ce,Chechen
23,ch,Chamorro
24,co,Corsican
25,cr,Cree
26,cs,Czech
27,cu,Old Church Slavonic / Old Bulgarian
28,cv,Chuvash
29,cy,Welsh
30,da,Danish
31,de,German
32,dv,Divehi
33,dz,Dzongkha
34,ee,Ewe
35,el,Greek
36,en,English
37,eo,Esperanto
38,es,Spanish
39,et,Estonian
40,eu,Basque
41,fa,Persian
42,ff,Peul
43,fi,Finnish
44,fj,Fijian
45,fo,Faroese
46,fr,French
47,fy,West Frisian
48,ga,Irish
49,gd,Scottish Gaelic
50,gl,Galician
51,gn,Guarani
52,gu,Gujarati
53,gv,Manx
54,ha,Hausa
55,he,Hebrew
56,hi,Hindi
57,ho,Hiri Motu
58,hr,Croatian
59,ht,Haitian
60,hu,Hungarian
61,hy,Armenian
62,hz,Herero
63,ia,Interlingua
64,id,Indonesian
65,ie,Interlingue
66,ig,Igbo
67,ii,Sichuan Yi
68,ik,Inupiak
69,io,Ido
70,is,Icelandic
71,it,Italian
72,iu,Inuktitut
73,ja,Japanese
74,jv,Javanese
75,ka,Georgian
76,kg,Kongo
77,ki,Kikuyu
78,kj,Kuanyama
79,kk,Kazakh
80,kl,Greenlandic
81,km,Cambodian
82,kn,Kannada
83,ko,Korean
84,kr,Kanuri
85,ks,Kashmiri
86,ku,Kurdish
87,kv,Komi
88,kw,Cornish
89,ky,Kirghiz
90,la,Latin
91,lb,Luxembourgish
92,lg,Ganda
93,li,Limburgian
94,ln,Lingala
95,lo,Laotian
96,lt,Lithuanian
97,lv,Latvian
98,mg,Malagasy
99,mh,Marshallese
100,mi,Maori
101,mk,Macedonian
102,ml,Malayalam
103,mn,Mongolian
104,mo,Moldovan
105,mr,Marathi
106,ms,Malay
107,mt,Maltese
108,my,Burmese
109,na,Nauruan
110,nd,North Ndebele
111,ne,Nepali
112,ng,Ndonga
113,nl,Dutch
114,nn,Norwegian Nynorsk
115,no,Norwegian
116,nr,South Ndebele
117,nv,Navajo
118,ny,Chichewa
119,oc,Occitan
120,oj,Ojibwa
121,om,Oromo
122,or,Oriya
123,os,Ossetian / Ossetic
124,pa,Panjabi / Punjabi
125,pi,Pali
126,pl,Polish
127,ps,Pashto
128,pt,Portuguese
129,qu,Quechua
130,rm,Raeto Romance
131,rn,Kirundi
132,ro,Romanian
133,ru,Russian
134,rw,Rwandi
135,sa,Sanskrit
136,sc,Sardinian
137,sd,Sindhi
138,se,Northern Sami
139,sg,Sango
140,sh,Serbo-Croatian
141,si,Sinhalese
142,sk,Slovak
143,sl,Slovenian
144,sm,Samoan
145,sn,Shona
146,so,Somalia
147,sq,Albanian
148,sr,Serbian
149,ss,Swati
150,st,Southern Sotho
151,su,Sundanese
152,sv,Swedish
153,sw,Swahili
154,ta,Tamil
155,te,Telugu
156,tg,Tajik
157,th,Thai
158,ti,Tigrinya
159,tk,Turkmen
160,tl,Tagalog / Filipino
161,tn,Tswana
162,to,Tonga
163,tr,Turkish
164,ts,Tsonga
165,tt,Tatar
166,tw,Twi
167,ty,Tahitian
168,ug,Uyghur
169,uk,Ukrainian
170,ur,Urdu
171,uz,Uzbek
172,ve,Venda
173,vi,Vietnamese
174,vo,Volapük
175,wa,Walloon
176,wo,Wolof
177,xh,Xhosa
178,yi,Yiddish
179,yo,Yoruba
180,za,Zhuang
181,zh,Chinese
182,zu,Zulu
