id,Name,Nationality,Club,Score,International_reputation
0,L. Messi,Argentina,FC Barcelona,94,5
1,Cristiano Ronaldo,Portugal,Juventus,93,5
2,Neymar Jr,Brazil,Paris Saint-Germain,92,5
3,J. Oblak,Slovenia,Atlético Madrid,91,3
4,E. Hazard,Belgium,Real Madrid,91,4
5,K. De Bruyne,Belgium,Manchester City,91,4
6,M. ter Stegen,Germany,FC Barcelona,90,3
7,V. van Dijk,Netherlands,Liverpool,90,3
8,L. Modrić,Croatia,Real Madrid,90,4
9,M. Salah,Egypt,Liverpool,90,3
10,K. Mbappé,France,Paris Saint-Germain,89,3
11,K. Koulibaly,Senegal,Napoli,89,3
12,H. Kane,United Kingdom,Tottenham Hotspur,89,3
13,Alisson,Brazil,Liverpool,89,3
14,De Gea,Spain,Manchester United,89,4
15,N. Kanté,France,Chelsea,89,3
16,G. Chiellini,Italy,Juventus,89,4
17,S. Agüero,Argentina,Manchester City,89,4
18,Sergio Ramos,Spain,Real Madrid,89,4
19,L. Suárez,Uruguay,FC Barcelona,89,5
20,R. Lewandowski,Poland,FC Bayern München,89,4
21,Sergio Busquets,Spain,FC Barcelona,89,4
22,A. Griezmann,France,FC Barcelona,89,4
23,P. Dybala,Argentina,Juventus,88,3
24,P. Pogba,France,Manchester United,88,4
25,Ederson,Brazil,Manchester City,88,2
26,R. Sterling,United Kingdom,Manchester City,88,3
27,C. Eriksen,Denmark,Tottenham Hotspur,88,3
28,T. Courtois,Belgium,Real Madrid,88,4
29,Piqué,Spain,FC Barcelona,88,4
30,S. Handanovič,Slovenia,Inter,88,3
31,M. Neuer,Germany,FC Bayern München,88,5
32,H. Lloris,France,Tottenham Hotspur,88,4
33,David Silva,Spain,Manchester City,88,4
34,E. Cavani,Uruguay,Paris Saint-Germain,88,4
35,D. Godín,Uruguay,Inter,88,3
36,T. Kroos,Germany,Real Madrid,88,4
37,M. Reus,Germany,Borussia Dortmund,88,4
38,P. Aubameyang,Gabon,Arsenal,88,3
39,S. Mané,Senegal,Liverpool,88,3
40,A. Laporte,France,Manchester City,87,2
41,Bernardo Silva,Portugal,Manchester City,87,2
42,Casemiro,Brazil,Real Madrid,87,3
43,H. Son,South Korea,Tottenham Hotspur,87,3
44,Fernandinho,Brazil,Manchester City,87,3
45,Thiago Silva,Brazil,Paris Saint-Germain,87,4
46,K. Benzema,France,Real Madrid,87,4
47,J. Vertonghen,Belgium,Tottenham Hotspur,87,3
48,D. Mertens,Belgium,Napoli,87,3
49,M. Hummels,Germany,Borussia Dortmund,87,4
50,T. Alderweireld,Belgium,Tottenham Hotspur,87,3
51,Jordi Alba,Spain,FC Barcelona,87,3
52,Thiago,Spain,FC Bayern München,87,3
53,K. Navas,Costa Rica,Real Madrid,87,3
54,L. Insigne,Italy,Napoli,87,3
55,L. Sané,Germany,Manchester City,86,2
56,Marquinhos,Brazil,Paris Saint-Germain,86,3
57,M. Škriniar,Slovakia,Inter,86,1
58,M. Verratti,Italy,Paris Saint-Germain,86,3
59,S. Umtiti,France,FC Barcelona,86,3
60,W. Szczęsny,Poland,Juventus,86,3
61,J. Kimmich,Germany,FC Bayern München,86,3
62,Isco,Spain,Real Madrid,86,3
63,Roberto Firmino,Brazil,Liverpool,86,3
64,I. Rakitić,Croatia,FC Barcelona,86,4
65,M. Pjanić,Bosnia and Herzegovina,Juventus,86,3
66,A. Di María,Argentina,Paris Saint-Germain,86,4
67,L. Bonucci,Italy,Juventus,86,3
68,Coutinho,Brazil,FC Bayern München,86,3
69,Parejo,Spain,Valencia CF,86,2
70,T. Müller,Germany,FC Bayern München,86,4
71,C. Immobile,Italy,Lazio,86,3
72,A. Lacazette,France,Arsenal,86,3
73,M. de Ligt,Netherlands,Juventus,85,3
74,G. Donnarumma,Italy,Milan,85,3
75,F. de Jong,Netherlands,FC Barcelona,85,3
76,R. Varane,France,Real Madrid,85,3
77,N. Süle,Germany,FC Bayern München,85,2
78,S. Milinković-Savić,Serbia,Lazio,85,2
79,Rodri,Spain,Manchester City,85,2
80,Saúl,Spain,Atlético Madrid,85,3
81,Fabinho,Brazil,Liverpool,85,3
82,A. Robertson,United Kingdom,Liverpool,85,1
83,J. Giménez,Uruguay,Atlético Madrid,85,2
84,C. Lenglet,France,FC Barcelona,85,2
85,Bruno Fernandes,Portugal,Sporting CP,85,2
86,A. Lopes,Portugal,Olympique Lyonnais,85,2
87,P. Gulácsi,Hungary,RB Leipzig,85,2
88,R. Bürki,Switzerland,Borussia Dortmund,85,3
89,R. Lukaku,Belgium,Inter,85,3
90,K. Manolas,Greece,Napoli,85,3
91,Neto,Brazil,FC Barcelona,85,2
92,D. Alaba,Austria,FC Bayern München,85,4
93,M. Icardi,Argentina,Inter,85,3
94,Carvajal,Spain,Real Madrid,85,3
95,H. Ziyech,Morocco,Ajax,85,3
96,Z. Ibrahimović,Sweden,LA Galaxy,85,5
97,A. Gómez,Argentina,Atalanta,85,3
98,G. Higuaín,Argentina,Juventus,85,4
99,B. Matuidi,France,Juventus,85,3
100,G. Bale,United Kingdom,Real Madrid,85,4
101,Marcelo,Brazil,Real Madrid,85,4
102,A. Witsel,Belgium,Borussia Dortmund,85,3
103,Alex Sandro,Brazil,Juventus,85,3
104,Iago Aspas,Spain,RC Celta,85,2
105,Koke,Spain,Atlético Madrid,85,3
106,J. Rodríguez,Colombia,Real Madrid,85,4
107,Allan,Brazil,Napoli,85,2
108,J. Sancho,United Kingdom,Borussia Dortmund,84,2
109,K. Havertz,Germany,Bayer 04 Leverkusen,84,1
110,O. Dembélé,France,FC Barcelona,84,3
111,Kepa,Spain,Chelsea,84,1
112,João Cancelo,Portugal,Manchester City,84,2
